,molecular_weight_1,molecular_weight_2,molecular_weight_3,molecular_weight_4,hydrophobicity_1,hydrophobicity_2,hydrophobicity_3,hydrophobicity_4,node_degree_1,node_degree_2,node_degree_3,node_degree_4,node_weighted_degree_1,node_weighted_degree_2,node_weighted_degree_3,node_weighted_degree_4,residue_count_1,residue_count_2,residue_count_3,residue_count_4,clustering_coeff_1,clustering_coeff_2,clustering_coeff_3,clustering_coeff_4,conservation_score_1,conservation_score_2,conservation_score_3,conservation_score_4,bulkiness_1,bulkiness_2,bulkiness_3,bulkiness_4,polarity_1,polarity_2,polarity_3,polarity_4,turn_tendency_1,turn_tendency_2,turn_tendency_3,turn_tendency_4,coil_tendency_1,coil_tendency_2,coil_tendency_3,coil_tendency_4,flexibility_1,flexibility_2,flexibility_3,flexibility_4,partial_specific_volume_1,partial_specific_volume_2,partial_specific_volume_3,partial_specific_volume_4,refractive_index_1,refractive_index_2,refractive_index_3,refractive_index_4,compressibility_1,compressibility_2,compressibility_3,compressibility_4,class
1AEY,98.27083807766522,24.060408320676263,14.260720623866057,14.037465707015203,1.0593493975091166,0.12998097979447784,0.7890241015853084,1.6222289811763821,6.686809007046579,1.5312854821601833,1.3788269512519298,1.1059523197315266,49.875688007809956,8.84836743025083,22.448287410526135,13.018477450021425,3.7340384471301333,0.809452558504673,0.9863062474197657,1.1923827440810528,0.45828451389955405,0.10731411845005319,0.08230795975514864,0.05081593041684093,0.6058570238421008,0.1502904293817437,0.07800491637740929,0.01024050276294922,11.984631749578917,2.840351721702425,2.084562793556592,2.419695935822736,14.216556999491456,3.1081361401590906,4.691146715818701,11.677920737959642,0.7721791452906244,0.17640286989456397,0.15249110059650595,0.16593498146311522,0.7583273122619562,0.1761243706486609,0.13758707192082914,0.13504056896860459,1.6270187286280087,0.369826314117704,0.40275347824760815,0.6426863834971343,69.05434234299267,16.6675237084655,10.763913123929505,12.430703532165182,13.022309515913154,3.1215524141841304,2.263717268921695,4.351934099706996,22.75574688819024,5.586255108002918,3.171626303932114,1.313806817811519,2.09
1APS,96.574490347915,87.74092024773593,7.288334947207671,13.0550843305922,0.7754387429688853,0.4288414722778062,0.40934371240028,1.312124070176367,6.811772368664518,5.894837864413761,0.75621858857248,0.9981422467426901,91.99461430340712,61.75585912818439,30.598276749319297,19.97733068618862,5.463512433345726,4.90140886375548,0.587418911070542,1.5104206327290841,0.4176085630048779,0.3712175712439465,0.03925698351435424,0.04454668703214424,0.6021313491222906,0.5661526169505632,0.030653258366789275,0.00829343495896656,10.943708788719482,9.902574216522257,0.9207317558227067,1.9968407957217278,12.539569228889235,9.665273127557878,3.5560826544659916,9.678776146460255,0.7716962066222046,0.6874879491422244,0.08119350021687775,0.1595119777012327,0.7771686169155623,0.6950771569258669,0.07817088859876851,0.13035529963642162,1.5280562190736835,1.2912189079090988,0.23178394384667378,0.7168435646562661,66.21801266682564,59.61393311071736,5.765912338309342,10.963421765108784,12.524584545834642,10.814941952068267,1.6676228794820875,3.804000255534997,22.19077434437394,20.68163335958345,1.2572600511684646,1.3508769426898073,1.48
1AYE,100.21824270823251,74.9795245827875,9.543588292054785,8.235990638290229,1.7033320438568147,0.2645986445508778,1.1320700952920484,0.7032961341418208,7.203704875559441,5.216598431829824,0.7015132951257947,0.49235732201416826,115.53634683661032,65.89343740528136,31.75316146529209,24.204094910437565,19.10601276859277,13.614842117225034,2.7343415076311763,1.956022723321398,0.433454512064744,0.31884316776379557,0.042556913603224805,0.019901873193679892,0.6062434976150693,0.4774484304170359,0.02931911373579942,0.006133621178641092,12.374030806661507,8.799066219927653,1.7015822696672764,1.257426091563635,16.13761569654931,8.432562009826745,7.974506403491531,4.746902016276592,0.8390889780514411,0.5839992860039356,0.13144367831312345,0.0910811206291127,0.8218138869588155,0.5881721037689249,0.10241852429247969,0.07614807451061434,1.6412851228458951,1.0758840790990676,0.40157756013508045,0.3268507247437307,70.80869842306724,51.480048138299935,8.225447232100434,6.739254179858501,14.026398908068794,9.594856920714404,2.5312413804232508,2.2083880609925806,22.83695669153753,17.56800052106247,1.5306767005979338,0.8862953457510195,6.8
1BDD,96.38995572309264,25.180822414985734,6.8827886901219895,6.156931794592666,1.0436491735859996,0.2570132829853501,0.9165934910730055,0.8519163634259191,5.651736624493628,1.6227304003328402,0.7373684812806004,0.23762690308375484,12.91807738690891,3.685336330312589,5.6897838888757795,2.523765426577234,4.264450933198991,1.115509814198133,0.7148094968733799,0.5973997241001585,0.4528496965780013,0.11955973614233602,0.05427034133187993,0.011336581707705157,0.6021891424271345,0.15706003358833154,0.011946845877904297,0.0070644501015014755,11.025990348812906,2.858597984961256,1.021216595846948,1.05116001706741,12.213090431875653,3.0468078901734463,11.059846143465895,3.1214687928373936,0.7610628714462849,0.19689710907076366,0.13728559557541423,0.08423640320046015,0.7393272426077481,0.18990495591552686,0.10540970783831843,0.06498110861080633,1.5583900770935177,0.4101282951956521,0.45067147381001227,0.3183306218465499,65.50055813446862,16.860819199331722,5.571979982003085,5.464770589502463,12.776020563643856,3.1956883042369286,1.6123656234987582,1.132138887430927,22.57482794488639,5.931204002678428,1.2449092824422765,0.7738155960470513,11.75
1BRS,100.01255808136148,13.786950127545877,11.753801086629013,10.82781812403485,0.8580117822749979,0.10522628150177858,1.1111426143699918,0.996201070004252,6.17610713570495,0.8361443605305426,0.8923166409794921,0.5771233141664113,32.04376818605793,3.961158316078191,11.526970063963903,5.390860130111256,5.32361988528403,0.7214115812653182,0.82945478620101,0.6557441429311294,0.4375487041125516,0.057619518956710615,0.07411428277626105,0.025299236853718328,0.605092234206929,0.08400583471763072,0.026580121841354706,0.00596883405918668,11.204019617149319,1.5572025438583557,1.7301842956437221,2.134550195427439,13.02298332092091,1.6940715118468377,10.17938543180751,5.6457930752950025,0.7972562784319172,0.10712689340841947,0.14798429546775918,0.146199292149679,0.7891239036741843,0.10674223549373121,0.11587442901826422,0.10640905265802729,1.5609893817667906,0.20606229315296806,0.5520098775330601,0.3927251118298332,68.58678458716113,9.437852957674517,10.567127682714728,10.609180009919521,13.356186476533683,1.8166785106050687,3.488443605634544,3.5499228051161773,22.487663841646935,3.116193432763517,1.3981948023633368,0.965143336923647,3.4
1C8C,96.24348349491851,14.580129607207002,10.797830747644092,10.234963565200623,0.91230443911032,0.17060086113383305,0.8800555014535623,1.1310442151612743,5.752749688514856,0.8773875800755739,1.061572193935369,0.6446017880237551,19.21166960255922,2.8871243297260905,7.904814432129337,5.101905371478431,5.004394835382515,0.8014933818380384,1.3529385168223547,1.2174417142103668,0.4684962833540002,0.07308543884021654,0.08169128825121429,0.03313501487346371,0.5992493098834685,0.08859032379393529,0.015292934163483072,0.008837105890023168,11.414196571427656,1.7397782144534086,1.6526847237722948,1.7311099886511596,16.482285929077044,2.761487377623567,8.21475504200403,7.1807753057542465,0.7396642307750287,0.11200024178290363,0.10407431251810347,0.15083473835262026,0.746594510065715,0.11272909370776643,0.08530280467449596,0.11288580892319622,1.745555348488037,0.28474666793730896,0.5023957527437931,0.419039970539304,67.53399099933351,10.359795309437246,9.12926803185156,9.141283324991655,12.881530478414442,2.0272026528235756,3.0009016359650493,3.2511704507323116,22.377220123239574,3.319340314200426,1.125236997194503,0.8904693061000608,6.91
1C9O,96.56068066387942,15.292843542692456,12.74928258387277,13.444685734532408,0.7251616331334646,0.07054759204547763,0.6942932482943693,1.5257440861704905,6.618048657899965,1.0093439149681012,1.1192483714464847,0.9383995011147406,44.02563210503845,5.925983465086163,14.701664608576644,11.720279107652063,4.380309216512483,0.6783785423736618,0.7839513727900298,1.2639217585893456,0.4375153938804804,0.06881828024443633,0.058403345585490006,0.04581376481312488,0.6002358740476282,0.09844004271715442,0.04278440029993197,0.010984885441706298,11.202722066182163,1.7326051882920865,1.9863371757768653,2.4423832760627677,12.500210826011001,1.7258142313693825,6.406331308606397,7.609773543687313,0.7571884588893696,0.11496343348637497,0.1331158437006392,0.17407603339263814,0.7632679357969661,0.11716367435816794,0.1133541751788509,0.13745621436603145,1.5029881415087372,0.22518492737650458,0.448917320264489,0.5002332670439221,66.24977869738342,10.380616248830917,10.156696610255471,10.477109414059917,12.608509784783042,1.903857748724949,3.054596974985378,3.352845157884798,22.698709703217624,3.6874963281858735,2.0190253604794277,1.496332843209848,7.2
1CIS,98.38463471301151,22.67742253534055,14.514088293708634,10.40936956847488,1.0207590821026784,0.08128501416631771,0.8972649025930295,1.4124182817900857,6.633421091529992,1.4495204635955912,1.3128329923878017,0.7453796751607391,49.618717139238534,9.138864969007232,18.31823306511337,8.756804997609562,4.269415335238255,0.9402617538856035,0.8898966765759685,0.950577661737696,0.43245775850650847,0.09776242177507709,0.06832658532089345,0.029750922712014197,0.5990993267121388,0.14285565533318206,0.06661878397491826,0.008498969999083781,11.7507861553697,2.7502016390937896,1.710773486638634,2.0450744838719555,16.85584817112948,3.2546178287915186,7.246562717334555,8.967299140503288,0.6702593149782397,0.1538612151430725,0.11940494451423848,0.16505086572623356,0.6797479334438822,0.15733625524205747,0.10188491567242243,0.12462770550768244,1.698868347382399,0.36668670831927763,0.43912696393684614,0.5651892075215678,68.9415790451446,15.883357935239092,10.322575517461582,9.588970851428178,12.985504557888147,2.9494104658970244,2.1476392441733045,2.5792209916736093,22.516483668167087,5.272830072929092,2.9477047755308243,1.3299978407180446,3.87
1COA,98.18914005053595,17.192594310856087,11.989387494352282,12.03995555265822,1.1707653505947513,0.08573544346767836,0.9248756282862912,1.3908380275914305,6.270001567557598,1.0463217607633304,1.1188464757434253,0.6013792894050427,43.691728276790215,6.249738508548409,15.888737262831857,7.4518687445576886,4.281773595331579,0.7097732931727324,0.8406398678962452,1.2674627739099988,0.4376618940033764,0.07526450083363354,0.06992049056473137,0.02783708367311874,0.6002422484362752,0.10778663646432074,0.05309572432952149,0.007887478869583311,12.158604388208175,2.1226682741032996,1.793044461039457,1.9657879586153721,16.84743429959737,2.495990189925185,6.918550243827854,9.04434471876086,0.6653172695696377,0.11542759706434047,0.10282345275918804,0.16545181598790412,0.6932458369552883,0.12060493806636632,0.09341531782955267,0.13165937896190796,1.7291824441268546,0.2744678601068248,0.4509501845778464,0.624285192846829,69.45612196207166,12.055442101812417,9.632989330021068,10.062716103764622,12.974409090261084,2.2062533140169687,2.2934574759541766,3.053174366269858,22.489191162049885,3.982052344961294,2.34959992578567,1.4938228181450839,3.87
1CSP,96.74931883225698,16.28141423831892,13.02216129463198,13.902949108142197,0.8190934357702505,0.06392543569510109,0.8074548283786624,1.4829459527637772,6.722219441314649,1.0829768191997886,1.08075272061352,0.9697492951619725,44.4893479753399,6.310483820256177,14.864797106039644,12.94716275954458,4.525888019225949,0.7578385580112675,0.8317029961147495,1.234174606479538,0.45086588954331264,0.0751715946559641,0.05920004122145099,0.04743155157953358,0.6066340062995267,0.10587965920131294,0.046092533837178484,0.010318386523976058,11.176932212602074,1.8562199627764808,1.836814023022889,2.4598009368457068,13.377479049143078,1.9784106676048079,6.0693632952485785,7.460860776344847,0.7427062822855558,0.1215867645035398,0.1239046542846063,0.1664714571046922,0.7519070709564486,0.12452689752204668,0.10292841312752458,0.12466536243012591,1.4712225629000888,0.23073334807997944,0.39784900394976425,0.5620133384628739,65.54787826054523,11.025432042485427,9.559864581979124,11.279606882535475,12.52248555023722,2.035283800206477,2.8511347128340154,3.3923223892948244,23.139338464051303,3.984942736503174,2.098352418195164,1.5866311583460069,6.98
