,corr
bulkiness_1,-0.2271204755349896
bulkiness_2,-0.03586112771605099
bulkiness_3,-0.2988427309670916
bulkiness_4,-0.17930563858025497
clustering_coeff_1,0.6574540081276016
clustering_coeff_2,0.537916915740765
clustering_coeff_3,-0.6335465896502342
clustering_coeff_4,-0.08367596467078565
coil_tendency_1,0.08367596467078565
coil_tendency_2,0.37056498639919355
coil_tendency_3,-0.5857317526954996
coil_tendency_4,-0.10758338314815298
compressibility_1,-0.2510278940123569
compressibility_2,0.6096391711728669
compressibility_3,-0.537916915740765
compressibility_4,-0.08367596467078565
conservation_score_1,0.059768546193418315
conservation_score_2,0.7291762635597036
conservation_score_3,-0.1314908016255203
conservation_score_4,-0.08367596467078565
flexibility_1,0.15539822010288762
flexibility_2,-0.10758338314815298
flexibility_3,-0.39447240487656093
flexibility_4,-0.011953709238683665
hydrophobicity_1,-0.27493531248972425
hydrophobicity_2,-0.5140094972633976
hydrophobicity_3,-0.4901020787860303
hydrophobicity_4,-0.011953709238683665
molecular_weight_1,-0.03586112771605099
molecular_weight_2,0.39447240487656093
molecular_weight_3,-0.6813614266049689
molecular_weight_4,0.059768546193418315
node_degree_1,0.7769911005144382
node_degree_2,0.44228724183129564
node_degree_3,0.03586112771605099
node_degree_4,-0.011953709238683665
node_weighted_degree_1,0.7769911005144382
node_weighted_degree_2,0.08367596467078565
node_weighted_degree_3,-0.5140094972633976
node_weighted_degree_4,-0.1314908016255203
partial_specific_volume_1,-0.03586112771605099
partial_specific_volume_2,0.4901020787860303
partial_specific_volume_3,-0.5618243342181323
partial_specific_volume_4,0.011953709238683665
polarity_1,-0.03586112771605099
polarity_2,-0.6096391711728669
polarity_3,-0.5618243342181323
polarity_4,-0.08367596467078565
refractive_index_1,0.08367596467078565
refractive_index_2,-0.059768546193418315
refractive_index_3,-0.5140094972633976
refractive_index_4,0.011953709238683665
residue_count_1,0.37056498639919355
residue_count_2,0.2032130570576223
residue_count_3,0.3466575679218263
residue_count_4,0.3227501494444589
turn_tendency_1,-0.059768546193418315
turn_tendency_2,0.17930563858025497
turn_tendency_3,-0.5618243342181323
turn_tendency_4,-0.15539822010288762
