Wavelet Scales	Feature Score	Feature Importance	group
1	0.014406976196076681	0.014406976196076681	molecular_weight
2	0.0029239220825649456	0.0029239220825649456	molecular_weight
3	0.0031462792889309543	0.0031462792889309543	molecular_weight
4	0.08051562669602536	0.08051562669602536	molecular_weight
1	0.008571319456957781	0.008571319456957781	hydrophobicity
2	0.00424104311228687	0.00424104311228687	hydrophobicity
3	0.010900283807033855	0.010900283807033855	hydrophobicity
4	0.018644022371306725	0.018644022371306725	hydrophobicity
1	0.00747786621622989	0.00747786621622989	node_degree
2	0.005297540492936497	0.005297540492936497	node_degree
3	0.00575188161348992	0.00575188161348992	node_degree
4	0.0463111763670732	0.0463111763670732	node_degree
1	0.004722529507139762	0.004722529507139762	node_weighted_degree
2	0.0036324856235074097	0.0036324856235074097	node_weighted_degree
3	0.006842473786395493	0.006842473786395493	node_weighted_degree
4	0.037456879584600845	0.037456879584600845	node_weighted_degree
1	0.00858161099015938	0.00858161099015938	residue_count
2	0.006007876880817798	0.006007876880817798	residue_count
3	0.005941532332627708	0.005941532332627708	residue_count
4	0.026314330832398244	0.026314330832398244	residue_count
1	0.02336226302523445	0.02336226302523445	clustering_coeff
2	0.006276873300399612	0.006276873300399612	clustering_coeff
3	0.012818704218523432	0.012818704218523432	clustering_coeff
4	0.014484299264860138	0.014484299264860138	clustering_coeff
1	0.013591554304232726	0.013591554304232726	conservation_score
2	0.014659514055602646	0.014659514055602646	conservation_score
3	0.02410524246539479	0.02410524246539479	conservation_score
4	0.014604502358438505	0.014604502358438505	conservation_score
1	0.008072863232782076	0.008072863232782076	bulkiness
2	0.005755546552245906	0.005755546552245906	bulkiness
3	0.007908260663193868	0.007908260663193868	bulkiness
4	0.06201211908489441	0.06201211908489441	bulkiness
1	0.007404720182138469	0.007404720182138469	polarity
2	0.003536308315594783	0.003536308315594783	polarity
3	0.006518920096739727	0.006518920096739727	polarity
4	0.024568923621164213	0.024568923621164213	polarity
1	0.00822181070518283	0.00822181070518283	turn_tendency
2	0.005756239378397235	0.005756239378397235	turn_tendency
3	0.009598213628035873	0.009598213628035873	turn_tendency
4	0.006782638949957147	0.006782638949957147	turn_tendency
1	0.013360095974865918	0.013360095974865918	coil_tendency
2	0.005133328835002511	0.005133328835002511	coil_tendency
3	0.00455737342659259	0.00455737342659259	coil_tendency
4	0.08048098848652195	0.08048098848652195	coil_tendency
1	0.023993790293572757	0.023993790293572757	flexibility
2	0.010241046219542941	0.010241046219542941	flexibility
3	0.024492634421145538	0.024492634421145538	flexibility
4	0.011271964921100499	0.011271964921100499	flexibility
1	0.013551840563575798	0.013551840563575798	partial_specific_volume
2	0.0019564478488093874	0.0019564478488093874	partial_specific_volume
3	0.008203783063316978	0.008203783063316978	partial_specific_volume
4	0.06049557262778595	0.06049557262778595	partial_specific_volume
1	0.01892337336641585	0.01892337336641585	refractive_index
2	0.01194556268721082	0.01194556268721082	refractive_index
3	0.01657075936608002	0.01657075936608002	refractive_index
4	0.01606932749211176	0.01606932749211176	refractive_index
1	0.005418339796594187	0.005418339796594187	compressibility
2	0.004417261205114287	0.004417261205114287	compressibility
3	0.008478152554044537	0.008478152554044537	compressibility
4	0.07271118220902355	0.07271118220902355	compressibility
