,Solubility(%),pdb
0,0,pdb1tlz.ent
1,1,pdb1t1l.ent
2,1,pdb1kmo.ent
3,2,pdb1dnp.ent
4,3,pdb1pho.ent
5,4,pdb1i78.ent
6,4,pdb1db3.ent
7,5,pdb1ecr.ent
8,6,pdb2kce.ent
9,7,pdb1s7b.ent
10,8,pdb1nzu.ent
11,8,pdb1al3.ent
12,9,pdb1u08.ent
13,9,pdb1thq.ent
14,9,pdb1r8g.ent
15,9,pdb1l7v.ent
16,10,pdb2udp.ent
17,10,pdb1szq.ent
18,10,pdb1nen.ent
19,10,pdb1fw2.ent
20,11,pdb1u05.ent
21,11,pdb1qsa.ent
22,11,pdb1lqa.ent
23,11,pdb1k70.ent
24,11,pdb1i2l.ent
25,11,pdb1i29.ent
26,11,pdb1fxx.ent
27,12,pdb1sur.ent
28,12,pdb1bl0.ent
29,13,pdb1siw.ent
30,13,pdb1og9.ent
31,13,pdb1d5y.ent
32,14,pdb1q9f.ent
33,14,pdb1lqm.ent
34,14,pdb1gvf.ent
35,15,pdb1pmo.ent
36,15,pdb1k77.ent
37,15,pdb1ec7.ent
38,16,pdb1tqq.ent
39,16,pdb1rp7.ent
40,16,pdb1ok7.ent
41,16,pdb1hl2.ent
42,16,pdb1ej0.ent
43,16,pdb1ecg.ent
44,17,pdb1ns5.ent
45,17,pdb1fdr.ent
46,17,pdb1bjo.ent
47,18,pdb1opf.ent
48,18,pdb1mc3.ent
49,18,pdb1m7x.ent
50,18,pdb1d2f.ent
51,19,pdb1uaa.ent
52,19,pdb1sdi.ent
53,19,pdb1q1e.ent
54,19,pdb1pii.ent
55,19,pdb1kp3.ent
56,19,pdb1gl3.ent
57,19,pdb1fft.ent
58,20,pdb1klf.ent
59,20,pdb1chu.ent
60,22,pdb1qj5.ent
61,22,pdb1lxa.ent
62,22,pdb1k3p.ent
63,22,pdb1bot.ent
64,23,pdb1qf6.ent
65,23,pdb1owg.ent
66,23,pdb1mwj.ent
67,24,pdb1nr9.ent
68,24,pdb1c8u.ent
69,24,pdb1ako.ent
70,24,pdb1ajz.ent
71,25,pdb1gu6.ent
72,26,pdb1my8.ent
73,26,pdb1eq2.ent
74,26,pdb1b5t.ent
75,27,pdb1gpq.ent
76,28,pdb1cl2.ent
77,29,pdb1nnx.ent
78,30,pdb1q16.ent
79,30,pdb1pl9.ent
80,30,pdb1o0c.ent
81,30,pdb1dv1.ent
82,31,pdb1mzo.ent
83,31,pdb1ks9.ent
84,31,pdb1iye.ent
85,31,pdb1de6.ent
86,32,pdb1qgd.ent
87,32,pdb1pvf.ent
88,32,pdb1lbi.ent
89,32,pdb1em8.ent
90,32,pdb1c5k.ent
91,34,pdb1p86.ent
92,34,pdb1nen.ent
93,34,pdb1bf6.ent
94,36,pdb1fui.ent
95,37,pdb1vh4.ent
96,37,pdb1t8y.ent
97,37,pdb1p91.ent
98,37,pdb1p3w.ent
99,38,pdb3tat.ent
100,38,pdb1jke.ent
101,38,pdb1hxd.ent
102,39,pdb1t8q.ent
103,40,pdb1uqw.ent
104,40,pdb1nn4.ent
105,40,pdb1esm.ent
106,41,pdb1kkf.ent
107,41,pdb1ivn.ent
108,41,pdb1gnk.ent
109,41,pdb1fhu.ent
110,42,pdb2gls.ent
111,42,pdb1jz2.ent
112,42,pdb1b6s.ent
113,43,pdb1nen.ent
114,43,pdb1igw.ent
115,43,pdb1duv.ent
116,44,pdb1nen.ent
117,44,pdb1gt7.ent
118,44,pdb1f33.ent
119,44,pdb1b0a.ent
120,45,pdb1te2.ent
121,45,pdb1qmh.ent
122,46,pdb1mxr.ent
123,47,pdb1oyy.ent
124,47,pdb1ez1.ent
125,48,pdb1tdj.ent
126,48,pdb1rg9.ent
127,49,pdb1u2m.ent
128,49,pdb1p7t.ent
129,49,pdb1nlm.ent
130,49,pdb1mfp.ent
131,49,pdb1fux.ent
132,50,pdb1f4l.ent
