yourlist:M20210315A94466D2655679D1FD8953E075198DA814D04CI	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
1D9I	P00734	THRB_HUMAN	reviewed	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2	Homo sapiens (Human)	622
1D9I	P28504	HIR2_HIRME	reviewed	Hirudin-2 (Hirudin II)		Hirudo medicinalis (Medicinal leech)	65
1E1G,1E1J,1E1P,1E1S,1E1U,1E1W,1HJM,1HJN	P04156	PRIO_HUMAN	reviewed	Major prion protein (PrP) (ASCR) (PrP27-30) (PrP33-35C) (CD antigen CD230)	PRNP ALTPRP PRIP PRP	Homo sapiens (Human)	253
1JLJ	Q9NQX3	GEPH_HUMAN	reviewed	Gephyrin [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)]	GPHN GPH KIAA1385	Homo sapiens (Human)	736
1YZB	P54252	ATX3_HUMAN	reviewed	Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1) (Spinocerebellar ataxia type 3 protein)	ATXN3 ATX3 MJD MJD1 SCA3	Homo sapiens (Human)	361
2HQW	P0DP29	CALM1_RAT	reviewed	Calmodulin-1	Calm1 Calm Cam Cam1 CaMI	Rattus norvegicus (Rat)	149
2HQW	Q05586	NMDZ1_HUMAN	reviewed	Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1)	GRIN1 NMDAR1	Homo sapiens (Human)	938
2I6K	Q13907	IDI1_HUMAN	reviewed	Isopentenyl-diphosphate Delta-isomerase 1 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 1) (IPP isomerase 1) (IPPI1)	IDI1	Homo sapiens (Human)	227
2JHH,2JHI,2JHK,2JHL,2JHM	O00602	FCN1_HUMAN	reviewed	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)	FCN1 FCNM	Homo sapiens (Human)	326
2KB0	P60953	CDC42_HUMAN	reviewed	Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein)	CDC42	Homo sapiens (Human)	191
2LLL	Q03252	LMNB2_HUMAN	reviewed	Lamin-B2	LMNB2 LMN2	Homo sapiens (Human)	620
2LSO	Q92522	H1X_HUMAN	reviewed	Histone H1.10 (Histone H1x)	H1-10 H1FX	Homo sapiens (Human)	213
2KA3,2OII	Q9Y6C2	EMIL1_HUMAN	reviewed	EMILIN-1 (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1)	EMILIN1 EMI	Homo sapiens (Human)	1016
2PE9,2PEA	P0CG48	UBC_HUMAN	reviewed	Polyubiquitin-C [Cleaved into: Ubiquitin]	UBC	Homo sapiens (Human)	685
2W3C	O60763	USO1_HUMAN	reviewed	General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein)	USO1 VDP	Homo sapiens (Human)	962
1IFR,1IVT,3GEF	P02545	LMNA_HUMAN	reviewed	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	LMNA LMN1	Homo sapiens (Human)	664
3SEA	Q15382	RHEB_HUMAN	reviewed	GTP-binding protein Rheb (Ras homolog enriched in brain)	RHEB RHEB2	Homo sapiens (Human)	184
3TYY	P20700	LMNB1_HUMAN	reviewed	Lamin-B1	LMNB1 LMN2 LMNB	Homo sapiens (Human)	586
4CAY	Q9BTT0	AN32E_HUMAN	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L)	ANP32E	Homo sapiens (Human)	268
4DOU	Q15848	ADIPO_HUMAN	reviewed	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)	ADIPOQ ACDC ACRP30 APM1 GBP28	Homo sapiens (Human)	244
3TVN,3TVO,4DZ7,4DZ9	P00918	CAH2_HUMAN	reviewed	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)	CA2	Homo sapiens (Human)	260
4L8T	Q9NQX4	MYO5C_HUMAN	reviewed	Unconventional myosin-Vc	MYO5C	Homo sapiens (Human)	1742
4LWZ,4LX0	P62491	RB11A_HUMAN	reviewed	Ras-related protein Rab-11A (Rab-11) (YL8)	RAB11A RAB11	Homo sapiens (Human)	216
4J5M,4LNZ,4LWZ,4LX0	Q9ULV0	MYO5B_HUMAN	reviewed	Unconventional myosin-Vb	MYO5B KIAA1119	Homo sapiens (Human)	1848
4LX2	Q91V27	MELPH_MOUSE	reviewed	Melanophilin (Exophilin-3) (Leaden protein) (Slp homolog lacking C2 domains a) (SlaC2-a) (Synaptotagmin-like protein 2a)	Mlph Ln Slac2a	Mus musculus (Mouse)	590
4J5L,4LX1,4LX2	Q9Y4I1	MYO5A_HUMAN	reviewed	Unconventional myosin-Va (Dilute myosin heavy chain, non-muscle) (Myosin heavy chain 12) (Myosin-12) (Myoxin)	MYO5A MYH12	Homo sapiens (Human)	1855
4F3J,4NN0	Q9BXJ0	C1QT5_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 5	C1QTNF5 CTRP5 UNQ303/PRO344	Homo sapiens (Human)	243
5DUM,5DUP,5DUR	Q1WDM0	Q1WDM0_9INFA	unreviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]	HA	Influenza A virus (A/Anhui/1/2005(H5N1))	567
4CAY,5FUG	P06899	H2B1J_HUMAN	reviewed	Histone H2B type 1-J (Histone H2B.1) (Histone H2B.r) (H2B/r)	H2BC11 H2BFR HIST1H2BJ	Homo sapiens (Human)	126
4CAY,5FUG	P0C0S5	H2AZ_HUMAN	reviewed	Histone H2A.Z (H2A/z)	H2AZ1 H2AFZ H2AZ	Homo sapiens (Human)	128
5FUG	Q15906	VPS72_HUMAN	reviewed	Vacuolar protein sorting-associated protein 72 homolog (Protein YL-1) (Transcription factor-like 1)	VPS72 TCFL1 YL1	Homo sapiens (Human)	364
1PK6,2JG8,2JG9,2WNU,2WNV,5HKJ,5HZF	P02745	C1QA_HUMAN	reviewed	Complement C1q subcomponent subunit A	C1QA	Homo sapiens (Human)	245
1PK6,2JG8,2JG9,2WNU,2WNV,5HKJ,5HZF	P02746	C1QB_HUMAN	reviewed	Complement C1q subcomponent subunit B	C1QB	Homo sapiens (Human)	253
1PK6,2JG8,2JG9,2WNU,2WNV,5HKJ,5HZF	P02747	C1QC_HUMAN	reviewed	Complement C1q subcomponent subunit C	C1QC C1QG	Homo sapiens (Human)	245
3POW,5LK5	P27797	CALR_HUMAN	reviewed	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)	CALR CRTC	Homo sapiens (Human)	417
1NCT,1NCU	Q8WZ42	TITIN_HUMAN	reviewed	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	34350
2KSO	O15357	SHIP2_HUMAN	reviewed	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1) (INPPL-1) (Protein 51C) (SH2 domain-containing inositol 5'-phosphatase 2) (SH2 domain-containing inositol phosphatase 2) (SHIP-2)	INPPL1 SHIP2	Homo sapiens (Human)	1258
2L6W	P09619	PGFRB_HUMAN	reviewed	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	PDGFRB PDGFR PDGFR1	Homo sapiens (Human)	1106
2L9U	P21860	ERBB3_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)	ERBB3 HER3	Homo sapiens (Human)	1342
